=== EXECUÇÃO 1 ===
Cozinheiro 0 pronto para receber pedidos!
Cozinheiro 0 preparando pedido=0
Cozinheiro 1 pronto para receber pedidos!
Cozinheiro 1 preparando pedido=1
Cozinheiro 2 pronto para receber pedidos!
Cozinheiro 2 preparando pedido=2
Cozinheiro 3 pronto para receber pedidos!
Cozinheiro 3 preparando pedido=3
Cozinheiro 4 pronto para receber pedidos!
Cozinheiro 4 preparando pedido=4
Cozinheiro 3 terminou pedido=3
Cozinheiro 3 preparando pedido=5
Cozinheiro 4 terminou pedido=4
Cozinheiro 4 preparando pedido=6
Cozinheiro 0 terminou pedido=0
Cozinheiro 0 preparando pedido=7
Cozinheiro 2 terminou pedido=2
Cozinheiro 2 preparando pedido=8
Cozinheiro 2 terminou pedido=8
Cozinheiro 2 preparando pedido=9
Cozinheiro 1 terminou pedido=1
Cozinheiro 1 preparando pedido=10
Cozinheiro 4 terminou pedido=6
Cozinheiro 4 preparando pedido=11
Cozinheiro 0 terminou pedido=7
Cozinheiro 0 preparando pedido=12
Cozinheiro 3 terminou pedido=5
Cozinheiro 3 preparando pedido=13
Cozinheiro 2 terminou pedido=9
Cozinheiro 2 preparando pedido=14
Cozinheiro 0 terminou pedido=12
Cozinheiro 0 preparando pedido=15
Cozinheiro 4 terminou pedido=11
Cozinheiro 4 preparando pedido=16
Cozinheiro 2 terminou pedido=14
Cozinheiro 2 preparando pedido=17
Cozinheiro 4 terminou pedido=16
Cozinheiro 4 preparando pedido=18
Cozinheiro 1 terminou pedido=10
Cozinheiro 1 preparando pedido=19
Cozinheiro 3 terminou pedido=13
Cozinheiro 3 preparando pedido=20
Cozinheiro 4 terminou pedido=18
Cozinheiro 4 preparando pedido=21
Cozinheiro 2 terminou pedido=17
Cozinheiro 2 preparando pedido=22
Cozinheiro 1 terminou pedido=19
Cozinheiro 1 preparando pedido=23
Cozinheiro 0 terminou pedido=15
Cozinheiro 0 preparando pedido=24
Cozinheiro 3 terminou pedido=20
Cozinheiro 3 preparando pedido=25
Cozinheiro 1 terminou pedido=23
Cozinheiro 1 preparando pedido=26
Cozinheiro 0 terminou pedido=24
Cozinheiro 0 preparando pedido=27
Cozinheiro 2 terminou pedido=22
Cozinheiro 2 preparando pedido=28
Cozinheiro 4 terminou pedido=21
Cozinheiro 4 preparando pedido=29
Cozinheiro 3 terminou pedido=25
Cozinheiro 3 preparando pedido=30
Cozinheiro 0 terminou pedido=27
Cozinheiro 0 preparando pedido=31
Cozinheiro 1 terminou pedido=26
Cozinheiro 1 preparando pedido=32
Cozinheiro 4 terminou pedido=29
Cozinheiro 4 preparando pedido=33
Cozinheiro 2 terminou pedido=28
Cozinheiro 2 preparando pedido=34
